athlete_id,age,sex,weight_kg,vo2_max,resting_hr,baseline_hrv,session_type,duration_min,avg_hr,max_hr,distance_km,elevation_gain_m,sleep_hrs_prior,hrv_today,temp_c,percent_hr_max,pace_min_per_km,hr_efficiency,vo2_hr_ratio,depletion_factor,sleep_debt,calories_burned
A00001,43,M,75.8,61.0,61,81,tempo,115,140,152,22.9,110,8.1,84.4,31,0.921,5.02,6.11,0.436,15903.2,-0.1,1537.0
A00002,36,F,83.9,53.6,50,84,long_run,118,160,174,18.4,283,5.7,85.1,29,0.92,6.41,8.7,0.335,18289.2,2.3,2035.8
A00003,39,M,66.4,51.0,64,96,long_run,32,172,177,4.3,142,7.8,96.1,13,0.972,7.44,40.0,0.297,5286.1,0.2,554.5
A00004,25,M,71.2,49.3,47,90,long_run,80,132,144,12.7,140,5.0,77.3,19,0.917,6.3,10.39,0.373,10761.3,3.0,867.5
A00005,34,M,71.6,59.1,45,94,long_run,49,158,170,7.8,293,7.5,101.2,10,0.929,6.28,20.26,0.374,7893.0,0.5,804.9
A00006,41,F,69.0,44.0,53,66,intervals,65,158,175,10.9,279,5.2,55.7,11,0.903,5.96,14.5,0.278,10422.9,2.8,1053.6
A00007,20,M,81.2,38.8,47,71,tempo,44,133,145,6.1,220,9.0,70.6,22,0.917,7.21,21.8,0.292,5933.8,-1.0,512.6
A00008,44,F,89.4,44.8,53,75,tempo,59,159,167,7.4,169,8.4,63.2,28,0.952,7.97,21.49,0.282,9464.6,-0.4,975.1
A00009,24,F,80.1,46.5,51,72,tempo,93,178,185,11.3,225,6.0,64.7,28,0.962,8.23,15.75,0.261,16478.3,2.0,1782.9
A00010,26,F,60.3,55.9,49,90,long_run,108,173,191,19.1,247,4.6,65.4,11,0.906,5.65,9.06,0.323,18083.9,3.4,1754.5
A00011,34,F,85.6,55.1,62,87,tempo,97,153,169,11.6,174,8.2,66.0,31,0.905,8.36,13.19,0.36,15181.1,-0.2,1495.6
A00012,29,M,66.8,61.6,48,67,tempo,112,158,165,22.2,162,7.8,68.0,31,0.958,5.05,7.12,0.39,18114.8,0.2,1658.2
A00013,34,F,60.9,53.1,64,66,long_run,53,132,142,10.1,161,6.3,67.3,14,0.93,5.25,13.07,0.402,7044.5,1.7,570.7
A00014,30,M,70.2,41.9,55,73,long_run,62,157,170,8.9,206,8.1,79.1,30,0.924,6.97,17.64,0.267,9260.9,-0.1,965.0
A00015,22,F,55.9,57.6,60,82,tempo,112,130,135,21.0,249,7.9,79.1,19,0.963,5.33,6.19,0.443,14467.4,0.1,1085.9
A00016,34,M,55.5,49.4,51,79,tempo,86,159,171,13.8,28,6.3,67.8,33,0.93,6.23,11.52,0.311,14005.9,1.7,1304.8
A00017,34,M,72.6,50.8,62,93,tempo,65,175,186,11.5,292,5.6,73.9,27,0.941,5.65,15.22,0.29,10881.4,2.4,1148.8
A00018,23,F,67.0,52.2,45,61,long_run,88,137,142,16.7,89,8.7,51.5,22,0.965,5.27,8.2,0.381,12574.2,-0.7,1001.2
A00019,41,F,66.3,60.4,51,66,tempo,110,171,187,18.8,117,6.4,62.8,18,0.914,5.85,9.1,0.353,19258.9,1.6,1944.2
A00020,38,M,79.3,39.6,61,74,intervals,48,176,182,7.2,299,7.7,73.8,24,0.967,6.67,24.44,0.225,8813.7,0.3,884.4
A00021,20,F,66.5,44.4,52,79,intervals,74,146,165,10.3,59,5.0,85.7,30,0.885,7.18,14.17,0.304,11305.7,3.0,952.0
A00022,43,F,59.7,39.9,52,73,long_run,53,151,170,5.6,286,7.9,67.6,14,0.888,9.46,26.96,0.264,7649.2,0.1,763.2
A00023,24,M,78.6,55.8,56,97,tempo,50,133,144,8.7,58,6.4,104.8,17,0.924,5.75,15.29,0.42,6487.6,1.6,590.5
A00024,32,F,62.9,64.2,64,90,tempo,109,144,153,18.8,270,8.7,86.0,31,0.941,5.8,7.66,0.446,15808.6,-0.7,1356.2
A00025,31,F,87.2,57.8,64,97,long_run,115,146,153,22.2,41,4.8,90.3,34,0.954,5.18,6.58,0.396,16631.8,3.2,1741.0
A00026,37,M,72.2,63.7,63,87,tempo,85,157,170,12.7,234,6.7,98.1,21,0.924,6.69,12.36,0.406,13270.8,1.3,1310.6
A00027,41,M,63.8,64.1,46,75,intervals,94,163,180,17.1,242,6.4,59.1,22,0.906,5.5,9.53,0.393,16011.2,1.6,1506.9
A00028,44,F,77.6,56.8,45,82,long_run,57,132,142,9.8,35,5.5,77.3,21,0.93,5.82,13.47,0.43,7658.0,2.5,698.0
A00029,25,M,85.9,53.8,47,99,intervals,33,156,162,5.7,199,7.6,94.6,33,0.963,5.79,27.37,0.345,5340.6,0.4,526.3
A00030,25,F,65.9,62.0,53,74,long_run,114,175,184,20.7,218,7.9,52.9,12,0.951,5.51,8.45,0.354,19022.7,0.1,1939.3
A00031,39,M,75.8,60.7,61,75,tempo,39,173,179,6.0,94,4.7,60.4,13,0.966,6.5,28.83,0.351,6535.4,3.3,707.6
A00032,23,F,83.3,59.5,51,63,long_run,91,148,163,9.7,235,6.6,64.8,18,0.908,9.38,15.26,0.402,13162.7,1.4,1229.7
A00033,22,M,69.8,55.3,61,89,tempo,34,161,170,3.7,151,6.3,75.0,17,0.947,9.19,43.51,0.343,5355.7,1.7,538.9
A00034,43,M,66.8,58.1,60,89,intervals,110,148,156,11.5,129,7.9,78.4,31,0.949,9.57,12.87,0.393,16191.6,0.1,1629.4
A00035,20,M,74.0,40.4,57,89,tempo,94,149,154,11.3,138,7.8,78.9,31,0.968,8.32,13.19,0.271,14278.9,0.2,1296.3
A00036,35,F,77.2,52.2,55,97,tempo,45,142,150,8.3,80,8.5,96.2,29,0.947,5.42,17.11,0.368,6465.5,-0.5,629.6
A00037,21,M,89.7,40.4,56,72,intervals,107,139,155,17.0,273,5.3,71.6,23,0.897,6.29,8.18,0.291,15467.1,2.7,1383.4
A00038,24,F,56.1,46.5,52,67,tempo,84,167,175,14.8,232,5.4,52.7,21,0.954,5.68,11.28,0.278,13826.2,2.6,1305.1
A00039,38,F,63.9,47.5,60,67,tempo,55,147,156,8.4,165,8.4,75.7,23,0.942,6.55,17.5,0.323,7735.6,-0.4,732.0
A00040,37,F,88.3,40.3,52,71,tempo,64,131,140,11.1,160,7.6,72.3,23,0.936,5.77,11.8,0.308,8661.1,0.4,785.5
A00041,32,F,59.7,51.8,64,79,long_run,68,168,173,7.3,46,8.4,74.9,18,0.971,9.32,23.01,0.308,11051.7,-0.4,1080.6
A00042,22,F,66.0,52.8,47,73,tempo,110,164,172,11.7,181,6.3,73.8,25,0.953,9.4,14.02,0.322,18015.1,1.7,1680.1
A00043,39,M,74.1,40.4,64,76,tempo,51,173,188,8.6,213,6.4,68.1,22,0.92,5.93,20.12,0.234,8734.0,1.6,910.9
A00044,23,M,77.8,39.1,56,87,intervals,114,140,148,12.2,227,8.7,63.8,22,0.946,9.34,11.48,0.279,15920.3,-0.7,1447.0
A00045,33,M,60.7,59.2,61,96,tempo,92,177,196,11.8,285,5.6,75.2,31,0.903,7.8,15.0,0.334,16797.9,2.4,1605.4
A00046,23,F,73.1,46.6,52,81,long_run,115,159,165,23.0,137,5.6,63.4,15,0.964,5.0,6.91,0.293,17558.4,2.4,1847.7
A00047,24,M,75.9,42.1,64,60,tempo,119,140,157,18.8,103,5.9,45.1,20,0.892,6.33,7.45,0.301,16802.2,2.1,1455.8
A00048,25,M,73.7,55.3,50,69,intervals,115,152,161,14.1,240,4.5,55.5,20,0.944,8.16,10.78,0.364,17384.1,3.5,1707.0
A00049,44,M,80.8,40.7,46,64,long_run,75,150,166,14.7,89,4.9,56.5,23,0.904,5.1,10.2,0.271,10925.4,3.1,1133.9
A00050,23,M,63.8,62.0,54,91,tempo,65,178,193,12.8,210,5.8,88.5,22,0.922,5.08,13.91,0.348,11849.3,2.2,1162.3
A00051,26,F,60.3,59.1,49,85,long_run,57,155,160,10.4,15,4.5,79.4,30,0.969,5.48,14.9,0.381,8444.1,3.5,812.1
A00052,28,M,62.2,47.4,46,93,long_run,71,142,151,7.7,110,8.2,74.7,11,0.94,9.22,18.44,0.334,10149.1,-0.2,880.5
A00053,20,F,66.2,48.4,50,60,intervals,100,134,144,17.2,2,4.5,57.5,30,0.931,5.81,7.79,0.361,13736.4,3.5,1167.7
A00054,34,M,58.9,40.4,55,93,intervals,112,140,145,21.3,225,5.4,91.4,14,0.966,5.26,6.57,0.289,16284.1,2.6,1419.3
A00055,30,F,75.1,46.8,48,92,tempo,47,134,153,8.8,8,5.9,87.5,34,0.876,5.34,15.23,0.349,6309.4,2.1,583.2
A00056,39,M,86.0,54.7,62,99,long_run,81,143,149,8.5,96,7.7,82.6,27,0.96,9.53,16.82,0.383,12133.6,0.3,1125.1
A00057,29,F,58.6,46.1,60,86,tempo,113,139,156,17.9,43,8.4,82.5,17,0.891,6.31,7.77,0.332,15380.0,-0.4,1359.7
A00058,24,F,57.3,53.5,55,83,long_run,98,157,171,18.5,259,6.3,69.9,28,0.918,5.3,8.49,0.341,15546.3,1.7,1442.1
A00059,30,M,67.8,40.9,45,76,long_run,109,131,141,20.3,70,7.5,65.9,12,0.929,5.37,6.45,0.312,14771.7,0.5,1166.9
A00060,40,F,87.3,48.5,59,80,tempo,83,143,156,10.9,256,7.2,57.4,30,0.917,7.61,13.12,0.339,11337.9,0.8,1234.1
A00061,43,F,81.7,60.3,63,83,intervals,55,154,171,10.0,201,7.1,85.2,16,0.901,5.5,15.4,0.392,8149.4,0.9,922.6
A00062,31,M,83.9,42.8,50,90,long_run,58,173,189,8.6,276,4.9,95.9,32,0.915,6.74,20.12,0.247,10163.2,3.1,1087.2
A00063,40,M,57.6,42.9,47,64,intervals,44,170,189,4.6,110,6.8,47.1,19,0.899,9.57,36.96,0.252,7373.9,1.2,749.6
A00064,27,F,78.1,55.5,46,63,tempo,84,143,152,11.1,38,8.5,70.3,25,0.941,7.57,12.88,0.388,11990.3,-0.5,1125.9
A00065,21,F,73.0,53.2,49,88,long_run,64,179,185,7.7,112,6.8,70.6,27,0.968,8.31,23.25,0.297,10994.8,1.2,1150.7
A00066,38,M,71.5,48.6,60,89,tempo,53,132,149,5.6,118,4.9,85.5,17,0.886,9.46,23.57,0.368,7088.2,3.1,612.8
A00067,31,F,85.4,52.5,49,91,intervals,87,144,156,10.0,100,8.5,85.0,32,0.923,8.7,14.4,0.365,12344.2,-0.5,1283.7
A00068,39,M,75.4,47.6,47,95,long_run,43,133,149,5.7,287,9.0,72.5,13,0.893,7.54,23.33,0.358,5677.2,-1.0,547.1
A00069,33,F,55.6,51.1,46,61,tempo,65,135,143,8.1,104,6.8,63.7,33,0.944,8.02,16.67,0.379,8393.5,1.2,749.8
A00070,20,F,62.4,47.3,60,65,long_run,75,154,160,12.5,112,6.0,52.5,12,0.962,6.0,12.32,0.307,11178.0,2.0,1043.6
A00071,42,F,63.7,38.6,45,65,tempo,40,145,155,6.0,164,7.5,69.5,34,0.935,6.67,24.17,0.266,5702.2,0.5,541.7
A00072,22,M,79.8,58.4,64,85,tempo,79,158,176,14.3,95,7.6,65.8,11,0.898,5.52,11.05,0.37,12015.9,0.4,1229.6
A00073,43,F,70.8,56.0,48,76,tempo,114,166,174,13.3,87,6.0,56.7,30,0.954,8.57,12.48,0.337,19232.1,2.0,1973.8
A00074,27,F,88.9,59.6,63,80,tempo,65,156,166,12.9,287,8.6,60.5,24,0.94,5.04,12.09,0.382,10388.8,-0.6,1016.4
A00075,31,F,77.5,54.0,58,72,intervals,55,172,187,8.2,110,7.4,55.5,23,0.92,6.71,20.98,0.314,9856.6,0.6,944.2
A00076,42,M,71.4,51.2,56,88,long_run,34,164,175,3.4,51,8.8,73.1,29,0.937,10.0,48.24,0.312,5828.9,-0.8,591.1
A00077,44,M,67.6,51.1,54,68,long_run,30,151,161,5.9,97,5.6,50.0,33,0.938,5.08,25.59,0.338,4464.7,2.4,445.2
A00078,26,M,88.9,62.1,56,65,tempo,108,176,182,14.9,258,7.2,58.0,21,0.967,7.25,11.81,0.353,19260.4,0.8,2069.0
A00079,40,M,78.3,50.3,49,95,intervals,83,176,188,12.7,151,6.3,82.5,17,0.936,6.54,13.86,0.286,14569.5,1.7,1500.0
A00080,38,F,66.0,59.1,45,87,tempo,83,131,136,15.1,13,8.2,63.6,11,0.963,5.5,8.68,0.451,10648.3,-0.2,994.0
A00081,35,F,84.2,57.1,49,65,long_run,53,146,157,8.6,264,5.0,51.8,15,0.93,6.16,16.98,0.391,7912.3,3.0,746.6
A00082,42,M,56.4,58.4,48,74,intervals,45,140,156,8.4,293,6.7,79.8,15,0.897,5.36,16.67,0.417,6585.2,1.3,591.7
A00083,33,F,77.3,52.3,58,78,intervals,117,168,183,15.6,187,7.2,66.4,33,0.918,7.5,10.77,0.311,20519.2,0.8,2029.8
A00084,34,F,78.6,62.2,54,91,long_run,46,139,149,4.8,0,7.6,85.7,32,0.933,9.58,28.96,0.447,6268.3,0.4,602.3
A00085,30,F,84.3,47.5,56,88,long_run,52,176,189,6.3,22,4.6,72.5,29,0.931,8.25,27.94,0.27,8879.5,3.4,945.0
A00086,23,M,65.9,58.9,64,83,tempo,103,174,184,18.7,57,8.1,71.0,11,0.946,5.51,9.3,0.339,17540.1,-0.1,1817.3
A00087,38,F,59.1,46.0,51,68,intervals,100,156,165,17.9,203,4.9,52.1,20,0.945,5.59,8.72,0.295,15108.0,3.1,1545.5
A00088,23,M,87.2,51.5,54,71,intervals,84,169,180,10.5,12,5.1,56.3,16,0.939,8.0,16.1,0.305,14287.5,2.9,1468.6
A00089,42,F,75.6,52.2,48,92,tempo,66,171,182,11.2,6,4.7,69.3,23,0.94,5.89,15.27,0.305,11362.9,3.3,1152.2
A00090,40,F,79.3,59.7,64,89,long_run,58,134,152,7.8,282,8.7,98.9,25,0.882,7.44,17.18,0.446,7668.3,-0.7,765.6
A00091,31,F,60.4,55.3,48,88,tempo,60,131,144,7.8,252,8.8,93.9,25,0.91,7.69,16.79,0.422,7741.7,-0.8,634.0
A00092,36,F,61.1,59.0,62,77,intervals,71,172,181,12.4,258,4.9,68.7,26,0.95,5.73,13.87,0.343,11766.2,3.1,1271.1
A00093,25,M,67.5,45.1,51,72,long_run,42,168,186,4.4,103,6.2,65.3,16,0.903,9.55,38.18,0.268,6906.0,1.8,696.0
A00094,27,M,63.6,57.2,63,86,long_run,51,159,168,8.0,221,6.7,95.2,24,0.946,6.38,19.88,0.36,8483.6,1.3,790.7
A00095,26,M,81.6,41.5,61,93,long_run,116,159,176,22.3,240,9.0,95.1,28,0.903,5.2,7.13,0.261,18535.3,-1.0,1768.1
A00096,32,F,59.0,47.4,57,66,long_run,111,151,169,21.8,267,4.6,73.0,23,0.893,5.09,6.93,0.314,17223.7,3.4,1524.5
A00097,38,M,60.1,38.6,45,76,tempo,102,160,167,10.3,37,8.2,72.1,34,0.958,9.9,15.53,0.241,15847.2,-0.2,1631.5
A00098,34,F,87.6,45.2,62,66,tempo,76,154,163,10.0,237,7.2,66.9,22,0.945,7.6,15.4,0.294,12275.0,0.8,1202.7
A00099,33,F,84.4,59.9,64,78,long_run,104,159,169,13.1,29,8.9,74.7,21,0.941,7.94,12.14,0.377,16844.3,-0.9,1634.4
A00100,37,M,72.0,58.7,63,70,intervals,46,150,159,5.0,284,5.5,65.2,25,0.943,9.2,30.0,0.391,7155.4,2.5,680.4
A00101,29,F,55.9,60.5,46,85,long_run,113,132,137,21.3,247,8.6,63.1,26,0.964,5.31,6.2,0.458,15641.2,-0.6,1187.1
A00102,31,M,64.6,43.4,63,71,intervals,31,139,146,4.9,135,8.8,61.9,22,0.952,6.33,28.37,0.312,4171.3,-0.8,385.1
A00103,38,M,80.8,61.8,64,69,tempo,71,155,160,9.7,272,6.4,55.5,13,0.969,7.32,15.98,0.399,10559.0,1.6,1142.4
A00104,23,F,62.7,45.1,48,83,intervals,88,143,148,11.2,62,4.6,77.7,10,0.966,7.86,12.77,0.315,12858.5,3.4,1095.3
A00105,37,F,71.8,40.3,45,62,long_run,68,164,181,8.7,293,7.4,71.0,15,0.906,7.82,18.85,0.246,10752.7,0.6,1135.7
A00106,32,F,55.9,51.5,58,67,intervals,67,175,187,13.1,250,7.0,75.3,11,0.936,5.11,13.36,0.294,11645.5,1.0,1164.1
A00107,22,F,85.0,56.4,63,90,tempo,79,136,148,9.6,2,5.9,95.6,12,0.919,8.23,14.17,0.415,10444.9,2.1,1012.0
A00108,29,M,59.8,64.4,52,96,tempo,101,147,153,18.1,103,6.9,95.3,21,0.961,5.58,8.12,0.438,15162.4,1.1,1280.9
A00109,33,F,61.5,47.6,62,92,tempo,36,174,190,5.2,38,6.7,82.0,14,0.916,6.92,33.46,0.274,6430.3,1.3,625.2
A00110,37,M,88.2,57.1,53,76,long_run,50,133,150,5.6,191,8.6,56.0,26,0.887,8.93,23.75,0.429,6425.3,-0.6,632.7
A00111,25,M,56.3,49.7,64,80,long_run,86,156,167,12.9,70,5.7,81.0,26,0.934,6.67,12.09,0.319,13441.1,2.3,1275.8
