athlete_id,age,sex,weight_kg,vo2_max,resting_hr,baseline_hrv,session_type,duration_min,avg_hr,max_hr,distance_km,elevation_gain_m,sleep_hrs_prior,hrv_today,temp_c,percent_hr_max,pace_min_per_km,hr_efficiency,vo2_hr_ratio,depletion_factor,sleep_debt,calories_burned
A001,31,M,70.5,39.3,52,82,long_run,72,130,147,13.0,151,8.8,84.6,23,0.884,5.54,10.0,0.302,9820.1,-0.8,850.3
A002,38,M,82.4,47.6,49,64,long_run,37,139,149,4.0,219,5.8,67.0,34,0.933,9.25,34.75,0.342,5387.8,2.2,509.3
A003,22,M,63.9,45.0,53,84,intervals,91,179,193,16.4,139,8.9,81.6,30,0.927,5.55,10.91,0.251,16973.6,-0.9,1634.1
A004,21,M,56.5,41.0,62,68,tempo,54,169,184,8.4,113,5.7,76.0,21,0.918,6.43,20.12,0.243,8849.9,2.3,898.1
A005,43,M,65.0,60.0,51,71,tempo,76,147,156,13.3,148,8.3,73.0,16,0.942,5.71,11.05,0.408,10815.2,-0.3,1028.1
A006,41,F,89.5,63.3,57,77,tempo,31,158,167,5.4,282,5.5,71.4,33,0.946,5.74,29.26,0.401,4820.8,2.5,518.9
A007,24,M,81.0,54.5,63,82,long_run,58,159,170,9.1,280,5.2,74.4,25,0.935,6.37,17.47,0.343,9509.5,2.8,939.3
A008,22,M,64.7,43.2,54,93,intervals,118,139,148,20.5,230,5.3,80.0,22,0.939,5.76,6.78,0.311,16465.5,2.7,1410.7
A009,29,F,84.4,60.5,58,73,intervals,63,149,164,11.1,222,6.6,67.6,13,0.909,5.68,13.42,0.406,9279.4,1.4,939.8
A010,29,F,62.6,41.7,50,80,tempo,83,169,180,8.3,37,6.1,84.6,29,0.939,10.0,20.36,0.247,13890.0,1.9,1436.9
A011,33,M,57.3,53.7,64,63,intervals,53,163,181,9.6,158,6.7,46.3,31,0.901,5.52,16.98,0.329,8807.8,1.3,853.8
A012,25,M,82.6,52.0,60,95,long_run,84,178,189,10.4,115,7.2,97.9,20,0.942,8.08,17.12,0.292,15301.3,0.8,1547.7
A013,20,M,77.3,51.4,59,86,intervals,44,135,154,8.1,74,7.1,82.9,34,0.877,5.43,16.67,0.381,5978.9,0.9,545.3
A014,22,M,79.5,53.8,57,65,tempo,110,174,181,21.3,34,5.5,56.5,14,0.961,5.16,8.17,0.309,19103.5,2.5,1957.0
A015,24,F,59.7,40.2,51,98,tempo,64,130,142,11.1,296,5.5,74.4,34,0.915,5.77,11.71,0.309,8529.1,2.5,677.8
A016,23,M,57.4,39.5,51,94,intervals,84,157,175,10.5,181,6.5,98.7,21,0.897,8.0,14.95,0.252,12734.8,1.5,1247.2
A017,30,F,76.7,53.2,48,92,intervals,36,135,154,4.5,159,8.8,87.6,16,0.877,8.0,30.0,0.394,4808.2,-0.8,456.5
A018,43,F,76.9,51.4,62,64,tempo,32,152,166,3.8,160,7.7,56.8,34,0.916,8.42,40.0,0.338,5034.5,0.3,498.3
