athlete_id,age,sex,weight_kg,vo2_max,resting_hr,baseline_hrv,session_type,duration_min,avg_hr,max_hr,distance_km,elevation_gain_m,sleep_hrs_prior,hrv_today,temp_c,percent_hr_max,pace_min_per_km,hr_efficiency,vo2_hr_ratio,depletion_factor,sleep_debt,calories_burned
A0001,34,F,74.1,38.9,60,90,long_run,103,148,164,11.8,146,8.6,103.5,20,0.902,8.73,12.54,0.263,14750.4,-0.6,1489.4
A0002,41,F,75.5,46.5,49,98,intervals,63,162,178,6.5,129,5.8,68.9,12,0.91,9.69,24.92,0.287,9760.2,2.2,1103.7
A0003,31,M,71.1,47.4,50,92,intervals,115,173,182,21.9,191,7.5,73.3,14,0.951,5.25,7.9,0.274,20503.7,0.5,2002.9
A0004,35,M,81.0,60.9,51,92,long_run,73,157,166,13.9,291,7.6,93.4,21,0.946,5.25,11.29,0.388,11333.2,0.4,1213.8
A0005,31,M,69.1,43.8,55,72,tempo,101,139,151,14.7,70,6.3,53.0,17,0.921,6.87,9.46,0.315,13935.3,1.7,1242.5
A0006,22,M,64.9,44.3,63,71,intervals,93,165,172,13.8,248,7.7,73.6,31,0.959,6.74,11.96,0.268,15770.5,0.3,1523.6
A0007,41,F,62.5,48.4,60,98,long_run,76,159,168,13.7,158,5.6,94.6,30,0.946,5.55,11.61,0.304,12436.8,2.4,1152.6
A0008,33,M,61.0,44.9,51,81,long_run,41,135,144,5.5,260,5.8,84.8,19,0.938,7.45,24.55,0.333,5707.7,2.2,470.1
A0009,40,M,70.3,50.2,54,94,tempo,82,164,178,15.5,272,7.3,80.9,29,0.921,5.29,10.58,0.306,13318.3,0.7,1329.9
A0010,34,F,59.4,50.9,63,99,tempo,35,173,184,7.0,109,5.5,92.6,11,0.94,5.0,24.71,0.294,5826.7,2.5,590.2
A0011,35,M,84.6,47.3,45,92,intervals,73,149,158,12.8,6,5.6,90.4,15,0.943,5.7,11.64,0.317,10471.5,2.4,1048.6
A0012,41,F,65.6,55.6,57,65,intervals,117,162,171,15.7,183,4.5,68.3,22,0.947,7.45,10.32,0.343,18085.7,3.5,1913.9
A0013,40,F,87.2,39.3,64,72,tempo,63,165,183,6.4,193,5.3,67.0,34,0.902,9.84,25.78,0.238,10553.6,2.7,1071.2
A0014,36,F,72.4,41.9,56,73,tempo,75,137,148,10.7,219,7.3,67.7,17,0.926,7.01,12.8,0.306,10566.7,0.7,980.7
A0015,30,F,84.1,43.4,62,94,intervals,106,141,160,11.6,249,5.2,99.4,24,0.881,9.14,12.16,0.308,14757.0,2.8,1393.7
A0016,36,M,70.5,38.9,59,75,tempo,73,167,177,12.4,259,8.2,85.6,21,0.944,5.89,13.47,0.233,11593.3,-0.2,1203.3
A0017,28,F,75.3,40.0,56,61,intervals,42,133,141,5.7,47,8.4,61.6,21,0.943,7.37,23.33,0.301,5616.0,-0.4,520.3
A0018,21,M,82.2,61.6,54,99,long_run,110,154,171,20.1,240,7.1,92.8,14,0.901,5.47,7.66,0.4,17199.2,0.9,1647.2
A0019,30,M,55.2,54.0,55,71,tempo,42,165,176,4.9,62,7.2,70.3,17,0.938,8.57,33.67,0.327,6627.1,0.8,675.2
A0020,20,F,81.5,64.0,47,81,long_run,116,169,186,21.6,85,8.7,65.7,29,0.909,5.37,7.82,0.379,19168.9,-0.7,1969.4
A0021,42,F,81.7,58.9,48,93,intervals,71,151,160,8.6,251,6.8,84.0,30,0.944,8.26,17.56,0.39,10781.9,1.2,1118.8
A0022,40,M,80.8,53.4,55,82,long_run,78,133,150,12.5,19,7.0,69.5,31,0.887,6.24,10.64,0.402,10568.4,1.0,974.4
A0023,32,M,81.6,58.9,54,70,tempo,60,141,157,10.2,171,6.8,63.4,28,0.898,5.88,13.82,0.418,8612.1,1.2,815.5
A0024,35,M,73.0,42.5,61,99,long_run,42,161,170,4.4,60,6.5,97.4,26,0.947,9.55,36.59,0.264,6783.7,1.5,676.4
